VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
1953,CULLENTHEATER1,SECBB,K,3,305,A,0,11,3
1953,CULLENTHEATER1,SECBB,K,4,303,A,0,11,4
1953,CULLENTHEATER1,SECBB,K,5,301,A,0,11,5
1953,CULLENTHEATER1,SECBB,K,6,299,A,0,11,6
1953,CULLENTHEATER1,SECBB,K,7,297,A,0,11,7
1953,CULLENTHEATER1,SECBB,K,8,298,A,0,11,8
1953,CULLENTHEATER1,SECBB,K,9,300,A,0,11,9
1953,CULLENTHEATER1,SECBB,K,10,302,A,0,11,10
1953,CULLENTHEATER1,SECBB,K,11,304,A,0,11,11
1953,CULLENTHEATER1,SECBB,K,12,306,A,0,11,12
1953,CULLENTHEATER1,SECBB,K,13,308,A,0,11,13
1953,CULLENTHEATER1,SECBB,K,14,310,A,1,11,14
1953,CULLENTHEATER1,SECBB,L,1,333,A,1,12,1
1953,CULLENTHEATER1,SECBB,L,2,331,A,0,12,2
1953,CULLENTHEATER1,SECBB,L,3,329,A,0,12,3
1953,CULLENTHEATER1,SECBB,L,4,327,A,0,12,4
1953,CULLENTHEATER1,SECBB,L,5,325,A,0,12,5
1953,CULLENTHEATER1,SECBB,L,6,323,A,0,12,6
1953,CULLENTHEATER1,SECBB,L,7,321,A,0,12,7
1953,CULLENTHEATER1,SECBB,L,8,322,A,0,12,8
1953,CULLENTHEATER1,SECBB,L,9,324,A,0,12,9
1953,CULLENTHEATER1,SECBB,L,10,326,A,0,12,10
1953,CULLENTHEATER1,SECBB,L,11,328,A,0,12,11
1953,CULLENTHEATER1,SECBB,L,12,330,A,0,12,12
1953,CULLENTHEATER1,SECBB,L,13,332,A,0,12,13
1953,CULLENTHEATER1,SECBB,L,14,334,A,1,12,14
1953,CULLENTHEATER1,SECBB,M,1,367,A,1,13,1
1953,CULLENTHEATER1,SECBB,M,2,365,A,0,13,2
1953,CULLENTHEATER1,SECBB,M,3,363,A,0,13,3
1953,CULLENTHEATER1,SECBB,M,4,361,A,0,13,4
1953,CULLENTHEATER1,SECBB,M,5,359,A,0,13,5
1953,CULLENTHEATER1,SECBB,M,6,357,A,0,13,6
1953,CULLENTHEATER1,SECBB,M,7,355,A,0,13,7
1953,CULLENTHEATER1,SECBB,M,8,356,A,0,13,8
1953,CULLENTHEATER1,SECBB,M,9,358,A,0,13,9
1953,CULLENTHEATER1,SECBB,M,10,360,A,0,13,10
1953,CULLENTHEATER1,SECBB,M,11,362,A,0,13,11
1953,CULLENTHEATER1,SECBB,M,12,364,A,0,13,12
1953,CULLENTHEATER1,SECBB,M,13,366,A,0,13,13
1953,CULLENTHEATER1,SECBB,M,14,368,A,1,13,14
1953,CULLENTHEATER1,SECBB,N,1,401,A,1,14,1
1953,CULLENTHEATER1,SECBB,N,2,399,A,0,14,2
1953,CULLENTHEATER1,SECBB,N,3,397,A,0,14,3
1953,CULLENTHEATER1,SECBB,N,4,395,A,0,14,4
1953,CULLENTHEATER1,SECBB,N,5,393,A,0,14,5
1953,CULLENTHEATER1,SECBB,N,6,391,A,0,14,6
1953,CULLENTHEATER1,SECBB,N,7,389,A,0,14,7
1953,CULLENTHEATER1,SECBB,N,8,390,A,0,14,8
1953,CULLENTHEATER1,SECBB,N,9,392,A,0,14,9
1953,CULLENTHEATER1,SECBB,N,10,394,A,0,14,10
1953,CULLENTHEATER1,SECBB,N,11,396,A,0,14,11
1953,CULLENTHEATER1,SECBB,N,12,398,A,0,14,12
1953,CULLENTHEATER1,SECBB,N,13,400,A,0,14,13
1953,CULLENTHEATER1,SECBB,N,14,402,A,1,14,14
1953,CULLENTHEATER1,SECBB,O,1,435,A,1,15,1
1953,CULLENTHEATER1,SECBB,O,2,433,A,0,15,2
1953,CULLENTHEATER1,SECBB,O,3,431,A,0,15,3
1953,CULLENTHEATER1,SECBB,O,4,429,A,0,15,4
1953,CULLENTHEATER1,SECBB,O,5,427,A,0,15,5
1953,CULLENTHEATER1,SECBB,O,6,425,A,0,15,6
1953,CULLENTHEATER1,SECBB,O,7,423,A,0,15,7
1953,CULLENTHEATER1,SECBB,O,8,424,A,0,15,8
1953,CULLENTHEATER1,SECBB,O,9,426,A,0,15,9
1953,CULLENTHEATER1,SECBB,O,10,428,A,0,15,10
1953,CULLENTHEATER1,SECBB,O,11,430,A,0,15,11
1953,CULLENTHEATER1,SECBB,O,12,432,A,0,15,12
1953,CULLENTHEATER1,SECBB,O,13,434,A,0,15,13
1953,CULLENTHEATER1,SECBB,O,14,436,A,1,15,14
1953,CULLENTHEATER1,SECBB,P,1,469,A,1,16,1
1953,CULLENTHEATER1,SECBB,P,2,467,A,0,16,2
1953,CULLENTHEATER1,SECBB,P,3,465,A,0,16,3
1953,CULLENTHEATER1,SECBB,P,4,463,A,0,16,4
1953,CULLENTHEATER1,SECBB,P,5,461,A,0,16,5
1953,CULLENTHEATER1,SECBB,P,6,459,A,0,16,6
1953,CULLENTHEATER1,SECBB,P,7,457,A,0,16,7
1953,CULLENTHEATER1,SECBB,P,8,458,A,0,16,8
1953,CULLENTHEATER1,SECBB,P,9,460,A,0,16,9
