VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
3929,CKMConcertHall1,RSVFL,J,18,325,A,0,8,25,
3929,CKMConcertHall1,RSVFL,J,19,323,A,0,8,24,
3929,CKMConcertHall1,RSVFL,J,20,321,A,0,8,21,
3929,CKMConcertHall1,RSVFL,J,21,322,A,0,8,20,
3929,CKMConcertHall1,RSVFL,J,22,324,A,0,8,19,
3929,CKMConcertHall1,RSVFL,J,23,326,A,0,8,18,
3929,CKMConcertHall1,RSVFL,J,24,328,A,0,8,17,
3929,CKMConcertHall1,RSVFL,J,25,330,A,0,8,16,
3929,CKMConcertHall1,RSVFL,J,26,332,A,0,8,15,
3929,CKMConcertHall1,RSVFL,J,27,334,A,0,8,14,
3929,CKMConcertHall1,RSVFL,J,28,336,A,0,8,13,
3929,CKMConcertHall1,RSVFL,J,29,338,A,0,8,12,
3929,CKMConcertHall1,RSVFL,J,30,340,A,0,8,11,
3929,CKMConcertHall1,RSVFL,J,31,342,A,0,8,10,
3929,CKMConcertHall1,RSVFL,J,32,344,A,0,8,9,
3929,CKMConcertHall1,RSVFL,J,33,346,A,0,8,8,
3929,CKMConcertHall1,RSVFL,J,34,348,A,0,8,7,
3929,CKMConcertHall1,RSVFL,J,35,350,A,0,8,6,
3929,CKMConcertHall1,RSVFL,J,36,352,A,0,8,5,
3929,CKMConcertHall1,RSVFL,J,37,354,A,0,8,4,
3929,CKMConcertHall1,RSVFL,J,38,356,A,0,8,3,
3929,CKMConcertHall1,RSVFL,J,39,358,A,0,8,2,
3929,CKMConcertHall1,RSVFL,J,40,360,A,1,8,1,
3929,CKMConcertHall1,RSVFL,K,1,399,A,1,9,42,
3929,CKMConcertHall1,RSVFL,K,2,397,A,0,9,41,
3929,CKMConcertHall1,RSVFL,K,3,395,A,0,9,40,
3929,CKMConcertHall1,RSVFL,K,4,393,A,0,9,39,
3929,CKMConcertHall1,RSVFL,K,5,391,A,0,9,38,
3929,CKMConcertHall1,RSVFL,K,6,389,A,0,9,37,
3929,CKMConcertHall1,RSVFL,K,7,387,A,0,9,36,
3929,CKMConcertHall1,RSVFL,K,8,385,A,0,9,35,
3929,CKMConcertHall1,RSVFL,K,9,383,A,0,9,34,
3929,CKMConcertHall1,RSVFL,K,10,381,A,0,9,33,
3929,CKMConcertHall1,RSVFL,K,11,379,A,0,9,32,
3929,CKMConcertHall1,RSVFL,K,12,377,A,0,9,31,
3929,CKMConcertHall1,RSVFL,K,13,375,A,0,9,30,
3929,CKMConcertHall1,RSVFL,K,14,373,A,0,9,29,
3929,CKMConcertHall1,RSVFL,K,15,371,A,0,9,28,
3929,CKMConcertHall1,RSVFL,K,16,369,A,0,9,27,
3929,CKMConcertHall1,RSVFL,K,17,367,A,0,9,26,
3929,CKMConcertHall1,RSVFL,K,18,365,A,0,9,25,
3929,CKMConcertHall1,RSVFL,K,19,363,A,0,9,24,
3929,CKMConcertHall1,RSVFL,K,20,361,A,0,9,21,
3929,CKMConcertHall1,RSVFL,K,21,362,A,0,9,20,
3929,CKMConcertHall1,RSVFL,K,22,364,A,0,9,19,
3929,CKMConcertHall1,RSVFL,K,23,366,A,0,9,18,
3929,CKMConcertHall1,RSVFL,K,24,368,A,0,9,17,
3929,CKMConcertHall1,RSVFL,K,25,370,A,0,9,16,
3929,CKMConcertHall1,RSVFL,K,26,372,A,0,9,15,
3929,CKMConcertHall1,RSVFL,K,27,374,A,0,9,14,
3929,CKMConcertHall1,RSVFL,K,28,376,A,0,9,13,
3929,CKMConcertHall1,RSVFL,K,29,378,A,0,9,12,
3929,CKMConcertHall1,RSVFL,K,30,380,A,0,9,11,
3929,CKMConcertHall1,RSVFL,K,31,382,A,0,9,10,
3929,CKMConcertHall1,RSVFL,K,32,384,A,0,9,9,
3929,CKMConcertHall1,RSVFL,K,33,386,A,0,9,8,
3929,CKMConcertHall1,RSVFL,K,34,388,A,0,9,7,
3929,CKMConcertHall1,RSVFL,K,35,390,A,0,9,6,
3929,CKMConcertHall1,RSVFL,K,36,392,A,0,9,5,
3929,CKMConcertHall1,RSVFL,K,37,394,A,0,9,4,
3929,CKMConcertHall1,RSVFL,K,38,396,A,0,9,3,
3929,CKMConcertHall1,RSVFL,K,39,398,A,0,9,2,
3929,CKMConcertHall1,RSVFL,K,40,400,A,1,9,1,
3929,CKMConcertHall1,RSVFL,L,1,439,A,1,10,42,
3929,CKMConcertHall1,RSVFL,L,2,437,A,0,10,41,
3929,CKMConcertHall1,RSVFL,L,3,435,A,0,10,40,
3929,CKMConcertHall1,RSVFL,L,4,433,A,0,10,39,
3929,CKMConcertHall1,RSVFL,L,5,431,A,0,10,38,
