VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
972,DANAAUDITORIUM1,LTSDF,BB,5,967,A,1,2,7
972,DANAAUDITORIUM1,LTSDF,BB,3,965,A,0,2,8
972,DANAAUDITORIUM1,LTSDF,BB,1,963,A,1,2,9
972,DANAAUDITORIUM1,LTSDM,C ,7,685,A,1,1,6
972,DANAAUDITORIUM1,LTSDM,C ,5,683,A,0,1,7
972,DANAAUDITORIUM1,LTSDM,C ,3,681,A,0,1,8
972,DANAAUDITORIUM1,LTSDM,C ,1,679,A,1,1,9
972,DANAAUDITORIUM1,LTSDM,D,9,695,A,1,2,5
972,DANAAUDITORIUM1,LTSDM,D,7,693,A,0,2,6
972,DANAAUDITORIUM1,LTSDM,D,5,691,A,0,2,7
972,DANAAUDITORIUM1,LTSDM,D,3,689,A,0,2,8
972,DANAAUDITORIUM1,LTSDM,D,1,687,A,1,2,9
972,DANAAUDITORIUM1,LTSDM,E,9,705,A,1,3,5
972,DANAAUDITORIUM1,LTSDM,E,7,703,A,0,3,6
972,DANAAUDITORIUM1,LTSDM,E,5,701,A,0,3,7
972,DANAAUDITORIUM1,LTSDM,E,3,699,A,0,3,8
972,DANAAUDITORIUM1,LTSDM,E,1,697,A,1,3,9
972,DANAAUDITORIUM1,LTSDM,F,11,717,A,1,4,4
972,DANAAUDITORIUM1,LTSDM,F,9,715,A,0,4,5
972,DANAAUDITORIUM1,LTSDM,F,7,713,A,0,4,6
972,DANAAUDITORIUM1,LTSDM,F,5,711,A,0,4,7
972,DANAAUDITORIUM1,LTSDM,F,3,709,A,0,4,8
972,DANAAUDITORIUM1,LTSDM,F,1,707,A,1,4,9
972,DANAAUDITORIUM1,LTSDM,G,11,729,A,1,5,3
972,DANAAUDITORIUM1,LTSDM,G,9,727,A,0,5,4
972,DANAAUDITORIUM1,LTSDM,G,7,725,A,0,5,5
972,DANAAUDITORIUM1,LTSDM,G,5,723,A,0,5,6
972,DANAAUDITORIUM1,LTSDM,G,3,721,A,0,5,7
972,DANAAUDITORIUM1,LTSDM,G,1,719,A,1,5,8
972,DANAAUDITORIUM1,LTSDM,H,13,743,A,1,6,2
